Country Name,Series Name,2019values
Chile,GDP per capita (constant 2015 US$),13761.37447
China,CO2 emissions (metric tons per capita),7.645435786
China,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",47.67263439
China,Population density (people per sq. km of land area),149.3675732
China,GDP per capita (constant 2015 US$),10155.51142
Colombia,CO2 emissions (metric tons per capita),1.577820141
Colombia,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",22.01072747
Colombia,Population density (people per sq. km of land area),45.23425507
Colombia,GDP per capita (constant 2015 US$),6404.108766
Comoros,CO2 emissions (metric tons per capita),0.41239668
Comoros,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",17.15567571
Comoros,Population density (people per sq. km of land area),425.0327781
Comoros,GDP per capita (constant 2015 US$),1381.622238
"Congo, Dem. Rep.",CO2 emissions (metric tons per capita),0.03371488
"Congo, Dem. Rep.","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",35.86088793
"Congo, Dem. Rep.",Population density (people per sq. km of land area),39.65809753
"Congo, Dem. Rep.",GDP per capita (constant 2015 US$),494.8192476
"Congo, Rep.",CO2 emissions (metric tons per capita),1.257662142
"Congo, Rep.","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",39.30341272
"Congo, Rep.",Population density (people per sq. km of land area),16.31254173
"Congo, Rep.",GDP per capita (constant 2015 US$),1731.799886
Costa Rica,CO2 emissions (metric tons per capita),1.564824452
Costa Rica,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",17.42174135
Costa Rica,Population density (people per sq. km of land area),99.57955347
Costa Rica,GDP per capita (constant 2015 US$),12662.42285
Cote d'Ivoire,CO2 emissions (metric tons per capita),0.414528305
Cote d'Ivoire,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",55.62337378
Cote d'Ivoire,Population density (people per sq. km of land area),82.22500314
Cote d'Ivoire,GDP per capita (constant 2015 US$),2252.543316
Croatia,CO2 emissions (metric tons per capita),4.064519478
Croatia,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",18.46495986
Croatia,Population density (people per sq. km of land area),72.64050104
Croatia,GDP per capita (constant 2015 US$),14211.75543
Cuba,CO2 emissions (metric tons per capita),2.157740903
Cuba,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",17.72659724
Cuba,Population density (people per sq. km of land area),109.0240559
Cuba,GDP per capita (constant 2015 US$),8042.948524
Curacao,CO2 emissions (metric tons per capita),..
Curacao,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",..
Curacao,Population density (people per sq. km of land area),354.5968468
Curacao,GDP per capita (constant 2015 US$),17796.69991
Cyprus,CO2 emissions (metric tons per capita),5.851879339
Cyprus,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",15.57380293
Cyprus,Population density (people per sq. km of land area),132.9909091
Cyprus,GDP per capita (constant 2015 US$),28360.03125
Czechia,CO2 emissions (metric tons per capita),9.156117906
Czechia,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",16.75140093
Czechia,Population density (people per sq. km of land area),138.2268103
Czechia,GDP per capita (constant 2015 US$),20206.42564
Denmark,CO2 emissions (metric tons per capita),5.107386426
Denmark,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",9.785959755
Denmark,Population density (people per sq. km of land area),145.36055
Denmark,GDP per capita (constant 2015 US$),57203.02779
Djibouti,CO2 emissions (metric tons per capita),0.398763866
Djibouti,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",43.16577438
Djibouti,Population density (people per sq. km of land area),46.33278689
Djibouti,GDP per capita (constant 2015 US$),2820.062866
Dominica,CO2 emissions (metric tons per capita),2.437419499
Dominica,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",18.60844325
Dominica,Population density (people per sq. km of land area),95.23733333
Dominica,GDP per capita (constant 2015 US$),7936.304818
Dominican Republic,CO2 emissions (metric tons per capita),2.368634396
Dominican Republic,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",17.72938154
Dominican Republic,Population density (people per sq. km of land area),225.2511281
Dominican Republic,GDP per capita (constant 2015 US$),8205.142578
Ecuador,CO2 emissions (metric tons per capita),2.285055011
Ecuador,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",19.97447395
Ecuador,Population density (people per sq. km of land area),69.83306491
Ecuador,GDP per capita (constant 2015 US$),5863.910566
"Egypt, Arab Rep.",CO2 emissions (metric tons per capita),2.063160783
"Egypt, Arab Rep.","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",67.88817813
"Egypt, Arab Rep.",Population density (people per sq. km of land area),106.1014325
"Egypt, Arab Rep.",GDP per capita (constant 2015 US$),3769.03577
El Salvador,CO2 emissions (metric tons per capita),1.25994054
El Salvador,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",22.32472418
El Salvador,Population density (people per sq. km of land area),303.0992761
El Salvador,GDP per capita (constant 2015 US$),4105.646168
Equatorial Guinea,CO2 emissions (metric tons per capita),3.139988835
Equatorial Guinea,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",45.28465901
Equatorial Guinea,Population density (people per sq. km of land area),55.36652406
Equatorial Guinea,GDP per capita (constant 2015 US$),6472.070883
Eritrea,CO2 emissions (metric tons per capita),0.199267295
Eritrea,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",44.07053957
Eritrea,Population density (people per sq. km of land area),28.89661565
Eritrea,GDP per capita (constant 2015 US$),..
Estonia,CO2 emissions (metric tons per capita),7.582120103
Estonia,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",5.893562381
Estonia,Population density (people per sq. km of land area),31.03854971
Estonia,GDP per capita (constant 2015 US$),20269.57514
Eswatini,CO2 emissions (metric tons per capita),0.999903387
Eswatini,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",23.34521196
Eswatini,Population density (people per sq. km of land area),68.00075581
Eswatini,GDP per capita (constant 2015 US$),3766.062999
Ethiopia,CO2 emissions (metric tons per capita),0.155169189
Ethiopia,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",33.7807199
Ethiopia,Population density (people per sq. km of land area),101.1195648
Ethiopia,GDP per capita (constant 2015 US$),785.4849817
Faroe Islands,CO2 emissions (metric tons per capita),..
Faroe Islands,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",..
Faroe Islands,Population density (people per sq. km of land area),37.02077364
Faroe Islands,GDP per capita (constant 2015 US$),56402.39445
Fiji,CO2 emissions (metric tons per capita),1.517205337
Fiji,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",10.9932094
Fiji,Population density (people per sq. km of land area),50.27175698
Fiji,GDP per capita (constant 2015 US$),5678.969942
Finland,CO2 emissions (metric tons per capita),7.423039601
Finland,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",5.565330197
Finland,Population density (people per sq. km of land area),18.16736091
Finland,GDP per capita (constant 2015 US$),46135.88142
France,CO2 emissions (metric tons per capita),4.460164948
France,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11.40575038
France,Population density (people per sq. km of land area),123.0702941
France,GDP per capita (constant 2015 US$),38832.0242
French Polynesia,CO2 emissions (metric tons per capita),..
French Polynesia,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",..
French Polynesia,Population density (people per sq. km of land area),86.34889081
French Polynesia,GDP per capita (constant 2015 US$),19807.29314
Gabon,CO2 emissions (metric tons per capita),2.351763544
Gabon,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",36.74675483
Gabon,Population density (people per sq. km of land area),8.704098265
Gabon,GDP per capita (constant 2015 US$),6893.323106
"Gambia, The",CO2 emissions (metric tons per capita),0.241900479
"Gambia, The","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",58.08072376
"Gambia, The",Population density (people per sq. km of land area),247.9133399
"Gambia, The",GDP per capita (constant 2015 US$),668.6351211
Georgia,CO2 emissions (metric tons per capita),2.835791247
Georgia,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",17.85586499
Georgia,Population density (people per sq. km of land area),65.08556982
Georgia,GDP per capita (constant 2015 US$),4773.335666
Germany,CO2 emissions (metric tons per capita),7.927187624
Germany,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11.80580716
Germany,Population density (people per sq. km of land area),237.8229543
Germany,GDP per capita (constant 2015 US$),43284.60246
Ghana,CO2 emissions (metric tons per capita),0.572264896
Ghana,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",53.98926008
Ghana,Population density (people per sq. km of land area),138.5351587
Ghana,GDP per capita (constant 2015 US$),1981.613928
Gibraltar,CO2 emissions (metric tons per capita),..
Gibraltar,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",..
Gibraltar,Population density (people per sq. km of land area),3268.5
Gibraltar,GDP per capita (constant 2015 US$),..
Greece,CO2 emissions (metric tons per capita),5.595284353
Greece,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",14.2538714
Greece,Population density (people per sq. km of land area),83.17751746
Greece,GDP per capita (constant 2015 US$),19018.90212
Greenland,CO2 emissions (metric tons per capita),..
Greenland,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",6.462977097
Greenland,Population density (people per sq. km of land area),0.136983798
Greenland,GDP per capita (constant 2015 US$),48170.7909
Grenada,CO2 emissions (metric tons per capita),2.820964115
Grenada,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",21.48591655
